City Name,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity,Country,Date
bluff,-46.6,168.3333,53.8,19.17,77,72,NZ,1650760901
saint-philippe,-21.3585,55.7679,72.34,11.63,98,67,RE,1650760901
port alfred,-33.5906,26.891,58.17,1.99,35,97,ZA,1650760902
cape town,-33.9258,18.4232,54.82,8.05,20,75,ZA,1650760690
faya,18.3851,42.4509,57.72,4.52,43,39,SA,1650760902
cayenne,4.9333,-52.3333,80.1,1.01,20,1,GF,1650760903
hilo,19.7297,-155.09,78.8,10.36,75,75,US,1650760903
swan hill,-35.3378,143.5544,67.82,8.19,0,51,AU,1650760904
barrow,71.2906,-156.7887,17.62,0.0,100,86,US,1650760904
lagoa,39.05,-27.9833,57.6,23.96,1,69,PT,1650760904
joaima,-16.6542,-41.0306,76.41,2.01,44,65,BR,1650760905
bengkulu,-3.8004,102.2655,76.01,4.47,100,87,ID,1650760905
kattivakkam,13.2167,80.3167,84.07,5.91,100,86,IN,1650760905
norman wells,65.282,-126.8329,44.64,19.57,20,45,CA,1650760906
high level,58.5169,-117.136,50.11,11.5,20,23,CA,1650760805
vao,-22.6667,167.4833,74.97,24.09,79,71,NC,1650760906
kaitangata,-46.2817,169.8464,51.76,12.35,83,82,NZ,1650760907
alta floresta,-9.8756,-56.0861,72.66,2.42,100,94,BR,1650760860
cherskiy,68.75,161.3,20.53,3.13,100,80,RU,1650760907
rongcheng,30.634,117.8517,75.94,3.67,2,74,CN,1650760908
tripoli,32.8752,13.1875,64.33,11.36,3,58,LY,1650760908
mandera,3.9366,41.867,81.46,15.95,90,66,KE,1650760908
mar del plata,-38.0023,-57.5575,64.87,9.22,0,70,AR,1650760909
majene,-3.5403,118.9707,84.47,5.23,31,72,ID,1650760909
east london,-33.0153,27.9116,62.92,8.14,100,89,ZA,1650760909
walvis bay,-22.9575,14.5053,54.55,2.3,0,87,NA,1650760910
myanaung,18.2833,95.3167,86.0,2.44,8,65,MM,1650760910
mae hong son,19.3003,97.9685,80.74,2.3,1,74,TH,1650760911
lebu,-37.6167,-73.65,52.83,10.69,67,85,CL,1650760911
sibenik,43.7272,15.9058,60.39,8.99,88,63,HR,1650760912
kilindoni,-7.9139,39.6668,80.49,3.76,98,79,TZ,1650760912
asfi,32.2994,-9.2372,59.59,9.73,99,66,MA,1650760912
sambava,-14.2667,50.1667,74.1,8.99,95,93,MG,1650760913
husavik,66.0449,-17.3389,44.33,4.07,90,77,IS,1650760913
sala,34.0389,-6.8166,50.68,3.44,40,100,MA,1650760676
yulara,-25.2406,130.9889,67.84,14.97,0,37,AU,1650760914
vila velha,-20.3297,-40.2925,79.95,13.8,0,84,BR,1650760846
komsomolskiy,40.4272,71.7189,61.52,6.91,100,63,UZ,1650760914
novyy svit,47.8059,38.0211,51.98,9.53,99,70,UA,1650760915
ribeira grande,38.5167,-28.7,58.62,19.98,81,70,PT,1650760915
awbari,26.5921,12.7805,69.66,8.05,0,15,LY,1650760916
khatanga,71.9667,102.5,5.41,4.43,93,94,RU,1650760916
hobart,-42.8794,147.3294,59.47,8.05,20,69,AU,1650760806
pimenta bueno,-11.6725,-61.1936,73.09,2.13,97,95,BR,1650760916
talnakh,69.4865,88.3972,-2.79,2.86,56,96,RU,1650760917
merauke,-8.4667,140.3333,84.72,3.06,99,70,ID,1650760917
butaritari,3.0707,172.7902,81.61,15.01,80,76,KI,1650760918
port hardy,50.6996,-127.4199,51.98,10.36,100,66,CA,1650760918
yellowknife,62.456,-114.3525,32.52,10.36,0,59,CA,1650760680
de-kastri,51.4667,140.7833,29.41,13.18,100,96,RU,1650760919
alihe,50.5667,123.7167,43.84,9.17,31,22,CN,1650760919
poum,-20.2333,164.0167,77.67,8.41,68,72,NC,1650760919
petropavlovsk-kamchatskiy,53.0452,158.6483,37.99,4.47,75,93,RU,1650760920
nome,64.5011,-165.4064,42.87,8.05,100,61,US,1650760920
iquitos,-3.7481,-73.2472,78.84,1.14,20,94,PE,1650760921
chokurdakh,70.6333,147.9167,2.77,3.06,82,92,RU,1650760921
puerto ayora,-0.7393,-90.3518,72.55,7.09,63,89,EC,1650760922
san mateo del mar,16.2,-95.0,83.5,12.53,0,73,MX,1650760922
dawlatabad,36.4141,64.9053,67.86,3.67,99,56,AF,1650760923
atuona,-9.8,-139.0333,79.27,15.97,88,78,PF,1650760923
bosaso,11.2842,49.1816,84.02,10.11,29,64,SO,1650760923
sabha,27.0377,14.4283,67.91,12.28,0,19,LY,1650760924
port lincoln,-34.7333,135.8667,66.58,17.6,95,77,AU,1650760924
santiago del estero,-27.7951,-64.2615,66.85,8.21,23,78,AR,1650760883
shiroi,35.8,140.0667,66.54,11.36,100,58,JP,1650760925
jining,35.405,116.5814,75.99,11.3,96,53,CN,1650760723
henties bay,-22.116,14.2845,59.22,10.83,71,89,NA,1650760925
longyearbyen,78.2186,15.6401,22.84,12.66,75,93,SJ,1650760926
bethel,41.3712,-73.414,54.48,3.0,100,59,US,1650760926
san pedro,14.35,121.0167,86.61,3.44,20,63,PH,1650760926
mosquera,4.7059,-74.2302,57.29,6.91,75,88,CO,1650760927
port-gentil,-0.7193,8.7815,80.46,6.22,100,82,GA,1650760927
arraial do cabo,-22.9661,-42.0278,77.54,7.76,4,78,BR,1650760928
kieta,-6.2167,155.6333,85.6,4.61,72,60,PG,1650760928
kudat,6.8837,116.8477,84.13,5.01,20,84,MY,1650760929
mamallapuram,12.6264,80.1722,84.25,2.44,97,79,IN,1650760811
tatawin,32.9297,10.4518,63.93,3.15,0,36,TN,1650760929
oyem,1.5995,11.5793,68.5,1.95,100,99,GA,1650760929
muisne,0.6,-80.0333,76.87,3.91,48,81,EC,1650760930
gasa,31.5,34.4667,64.89,3.74,43,84,PS,1650760931
mmathubudukwane,-24.6,26.4333,62.33,3.49,2,85,BW,1650760931
lavrentiya,65.5833,-171.0,30.11,2.91,100,77,RU,1650760931
kapaa,22.0752,-159.319,77.97,16.11,75,81,US,1650760932
dillon,34.4166,-79.3712,70.83,8.48,23,69,US,1650760932
krasnoselkup,65.7,82.4667,3.02,6.67,95,97,RU,1650760933
cidreira,-30.1811,-50.2056,59.99,7.45,0,71,BR,1650760933
chekhov,55.1431,37.4711,43.27,4.79,100,84,RU,1650760934
santa ana,33.7456,-117.8678,72.73,12.66,20,40,US,1650760882
sechura,-5.5569,-80.8222,69.42,16.2,54,80,PE,1650760934
bloemfontein,-29.1211,26.214,51.28,1.14,94,93,ZA,1650760935
nelson bay,-32.7167,152.15,68.61,10.92,10,82,AU,1650760935
nikolskoye,59.7035,30.7861,37.71,9.26,100,84,RU,1650760936
tuatapere,-46.1333,167.6833,50.72,12.19,100,81,NZ,1650760936
aranda de duero,41.6704,-3.6892,38.03,11.05,63,88,ES,1650760937
miles city,46.4083,-105.8406,34.77,37.98,100,100,US,1650760937
meteti,8.4983,-77.9786,75.4,0.54,46,90,PA,1650760938
cacu,-18.5567,-51.1308,73.17,2.1,20,70,BR,1650760938
saint-georges,12.0564,-61.7485,78.48,5.75,20,78,GD,1650760938
verkh-usugli,52.7,115.1667,37.87,4.5,100,45,RU,1650760939
sept-iles,50.2001,-66.3821,35.08,11.5,20,56,CA,1650760802
georgetown,5.4112,100.3354,80.2,5.01,20,94,MY,1650760940
shakawe,-18.3667,21.85,61.39,1.19,2,57,BW,1650760941
griffith,41.5284,-87.4237,76.8,17.27,0,49,US,1650760942
bay roberts,47.5999,-53.2648,34.97,5.01,100,88,CA,1650760942
sosva,59.1766,61.8558,30.43,5.35,92,83,RU,1650760942
goderich,43.7501,-81.7165,59.32,16.11,60,58,CA,1650760718
hithadhoo,-0.6,73.0833,84.34,7.05,100,73,MV,1650760943
new norfolk,-42.7826,147.0587,59.49,1.54,31,55,AU,1650760943
anadyr,64.75,177.4833,28.0,4.47,20,68,RU,1650760944
saint-francois,46.4154,3.9054,45.84,2.3,0,87,FR,1650760944
batticaloa,7.7102,81.6924,79.47,5.59,72,82,LK,1650760945
ostrovnoy,68.0531,39.5131,29.07,12.84,84,90,RU,1650760945
castro,-24.7911,-50.0119,62.47,1.79,100,93,BR,1650760946
kavaratti,10.5669,72.642,84.25,3.98,89,70,IN,1650760946
pedernales,18.0384,-71.744,78.4,3.67,100,72,DO,1650760947
sorland,67.667,12.6934,42.21,8.97,100,88,NO,1650760947
mikumi,-7.4041,36.9831,69.6,1.14,100,97,TZ,1650760947
narsaq,60.9167,-46.05,39.42,3.38,100,98,GL,1650760948
hervey bay,-25.2986,152.8535,74.23,24.94,92,62,AU,1650760948
aubenas,44.6201,4.3899,44.17,2.51,100,98,FR,1650760949
sao filipe,14.8961,-24.4956,74.37,5.84,0,75,CV,1650760949
sitka,57.0531,-135.33,46.29,6.91,75,81,US,1650760949
guayaramerin,-10.8368,-65.3614,75.15,2.71,40,89,BO,1650760950
terneuzen,51.2809,3.8392,54.28,5.01,100,63,NL,1650760950
nanortalik,60.1432,-45.2371,34.79,6.26,100,99,GL,1650760951
boffa,10.1667,-14.0333,77.5,1.97,97,82,GN,1650760951
sobolevo,54.4299,31.8996,46.85,13.71,100,91,RU,1650760951
souillac,-20.5167,57.5167,73.78,16.11,75,73,MU,1650760952
farah,32.5,62.5,69.19,5.08,100,36,AF,1650760952
ocampo,21.65,-101.5,74.66,12.59,42,23,MX,1650760952
okha,53.5739,142.9478,28.33,10.31,100,83,RU,1650760953
milkovo,54.7167,158.6167,33.37,9.19,100,94,RU,1650760953
viedma,-40.8135,-62.9967,60.89,20.09,0,31,AR,1650760954
anloga,5.7947,0.8973,81.55,9.31,100,85,GH,1650760954
cervo,43.6702,-7.4101,53.96,11.3,76,80,ES,1650760954
sur,22.5667,59.5289,82.4,12.37,93,49,OM,1650760955
moerai,-22.4333,-151.3333,76.8,21.74,100,73,PF,1650760955
margate,51.3813,1.3862,51.96,7.0,100,80,GB,1650760956
provideniya,64.3833,-173.3,33.08,2.21,84,61,RU,1650760956
nikki,9.9401,3.2108,80.89,8.19,100,61,BJ,1650760956
port elizabeth,-33.918,25.5701,61.2,11.5,100,97,ZA,1650760820
kiama,-34.6833,150.8667,67.68,1.99,23,80,AU,1650760957
vardo,70.3705,31.1107,37.9,13.13,100,95,NO,1650760957
hamilton,39.1834,-84.5333,74.79,9.22,0,48,US,1650760947
constitucion,-35.3333,-72.4167,56.93,5.08,100,90,CL,1650760958
klaksvik,62.2266,-6.589,43.72,21.63,100,86,FO,1650760958
gladstone,-23.85,151.25,71.53,18.41,100,68,AU,1650760703
katsuura,35.1333,140.3,66.45,8.25,100,84,JP,1650760959
zhigansk,66.7697,123.3711,15.03,10.58,100,90,RU,1650760959
mount gambier,-37.8333,140.7667,58.91,11.5,0,72,AU,1650760960
hasaki,35.7333,140.8333,66.6,12.41,100,86,JP,1650760960
saint george,37.1041,-113.5841,67.05,14.97,0,20,US,1650760884
boende,-0.2167,20.8667,70.7,2.71,85,98,CD,1650760961
bonthe,7.5264,-12.505,79.88,3.49,100,84,SL,1650760961
soderhamn,61.3037,17.0592,37.96,10.38,92,80,SE,1650760961
luderitz,-26.6481,15.1594,54.57,23.2,6,78,NA,1650760962
salinopolis,-0.6136,-47.3561,74.39,6.42,98,92,BR,1650760962
beringovskiy,63.05,179.3167,28.33,1.68,91,81,RU,1650760963
taoudenni,22.6783,-3.9836,76.95,10.98,10,17,ML,1650760963
bibiani,6.4635,-2.3194,72.55,2.46,100,98,GH,1650760963
santa maria,-29.6842,-53.8069,52.9,2.3,0,94,BR,1650760771
itoman,26.1247,127.6694,78.64,17.27,75,80,JP,1650760964
atar,20.5169,-13.0499,74.8,7.76,4,28,MR,1650760964
luan,46.3592,6.9759,36.18,2.91,100,91,CH,1650760965
jonesboro,35.8423,-90.7043,75.61,12.97,10,75,US,1650760965
saldanha,-33.0117,17.9442,50.05,15.21,0,69,ZA,1650760965
banff,51.1762,-115.5698,44.98,9.22,98,42,CA,1650760966
brae,60.3964,-1.353,45.16,14.34,95,76,GB,1650760966
isangel,-19.55,169.2667,84.31,4.61,75,70,VU,1650760967
mujiayingzi,42.1167,118.7833,59.38,3.42,80,19,CN,1650760967
abha,18.2164,42.5053,57.45,0.0,0,77,SA,1650760968
elat,29.5581,34.9482,73.24,5.75,2,46,IL,1650760968
san cristobal,7.7669,-72.225,71.78,2.48,100,97,VE,1650760968
misratah,32.3754,15.0925,62.31,8.41,5,72,LY,1650760969
pevek,69.7008,170.3133,15.33,1.48,98,90,RU,1650760969
mehamn,71.0357,27.8492,38.77,19.26,100,97,NO,1650760970
faanui,-16.4833,-151.75,79.88,9.19,98,77,PF,1650760970
mgandu,-5.95,34.1333,60.49,4.09,85,97,TZ,1650760971
ponta do sol,32.6667,-17.1,60.1,1.1,58,62,PT,1650760971
jacqueville,5.2052,-4.4146,80.91,7.56,100,87,CI,1650760971
dorado,18.4588,-66.2677,76.12,10.98,99,80,PR,1650760972
kozienice,51.5829,21.5478,41.99,7.0,5,37,PL,1650760972
ahipara,-35.1667,173.1667,63.99,13.98,100,65,NZ,1650760972
iskateley,67.6803,53.1512,5.16,5.37,100,96,RU,1650760973
camana,-16.6228,-72.7111,68.02,6.51,17,86,PE,1650760973
olafsvik,64.8945,-23.7142,44.94,6.73,98,83,IS,1650760974
koumac,-20.5667,164.2833,79.41,7.29,55,68,NC,1650760974
vestmannaeyjar,63.4427,-20.2734,45.88,6.24,100,86,IS,1650760974
tucuman,-26.8241,-65.2226,60.8,0.0,40,94,AR,1650760951
sibolga,1.7427,98.7792,80.58,1.86,100,80,ID,1650760975
nikko,36.75,139.6167,59.59,4.54,100,69,JP,1650760975
mitsamiouli,-11.3847,43.2844,81.1,10.98,100,83,KM,1650760975
banda aceh,5.5577,95.3222,82.17,6.4,92,79,ID,1650760976
vereshchagino,58.0789,54.6557,32.58,1.54,100,90,RU,1650760976
tirumullaivasal,11.2333,79.8333,82.15,2.17,100,76,IN,1650760977
havre-saint-pierre,50.2334,-63.5986,35.96,10.36,100,60,CA,1650760977
oistins,13.0667,-59.5333,78.89,14.97,20,69,BB,1650760977
marawi,7.9986,124.2928,77.83,2.55,23,73,PH,1650760978
nexo,55.0607,15.1306,42.89,19.04,100,90,DK,1650760978
morros,-9.4467,-46.3003,74.21,0.45,14,72,BR,1650760979
riberalta,-10.9833,-66.1,76.89,2.73,72,83,BO,1650760979
villaviciosa,43.4813,-5.4357,54.25,6.31,100,71,ES,1650760979
grindavik,63.8424,-22.4338,43.27,1.14,75,81,IS,1650760980
nicoya,10.1483,-85.452,80.08,3.18,5,76,CR,1650760980
balkanabat,39.5108,54.3671,62.53,1.92,0,59,TM,1650760981
port augusta,-32.5,137.7667,77.16,10.18,100,44,AU,1650760981
amarante do maranhao,-5.5667,-46.7422,72.36,3.02,99,98,BR,1650760982
kenmare,51.8833,-9.5833,48.24,5.61,87,91,IE,1650760982
coahuayana,18.7333,-103.6833,76.95,4.32,0,64,MX,1650760983
priladozhskiy,59.85,31.4833,35.53,10.45,100,1,RU,1650760983
marsa matruh,31.3525,27.2453,57.4,4.61,0,88,EG,1650760983
aklavik,68.2191,-135.0107,31.8,7.63,76,100,CA,1650760984
lai,9.3952,16.2989,84.9,5.73,93,46,TD,1650760984
rehburg-loccum,52.4667,9.2,48.4,8.05,4,63,DE,1650760985
darab,28.7519,54.5444,65.43,1.59,78,22,IR,1650760985
sao joao da barra,-21.6403,-41.0511,77.11,9.57,7,77,BR,1650760986
bambanglipuro,-7.95,110.2833,80.35,2.66,100,84,ID,1650760986
coquimbo,-29.9533,-71.3436,56.93,2.3,100,94,CL,1650760987
christchurch,-43.5333,172.6333,60.66,17.27,20,63,NZ,1650760987
elmira,42.0898,-76.8077,61.11,4.61,100,44,US,1650760987
cortez,37.3489,-108.5859,51.37,11.5,75,18,US,1650760988
ambilobe,-13.2,49.05,70.9,3.76,95,92,MG,1650760988
progreso,21.2833,-89.6667,79.11,19.17,0,82,MX,1650760989
qaqortoq,60.7167,-46.0333,35.87,5.19,100,98,GL,1650760989
urusha,54.05,122.9,38.89,4.94,3,24,RU,1650760990
mahebourg,-20.4081,57.7,73.69,16.11,75,73,MU,1650760990
piacabucu,-10.4056,-36.4344,77.7,6.93,8,86,BR,1650760990
storsteinnes,69.2408,19.2344,34.45,3.04,8,81,NO,1650760991
robertsport,6.7533,-11.3686,80.83,6.33,100,84,LR,1650760991
gizo,-8.103,156.8419,85.19,3.53,99,63,SB,1650760992
castellarano,44.5131,10.7329,46.71,7.72,0,90,IT,1650760992
bonavista,48.6499,-53.1147,32.74,21.92,100,93,CA,1650760731
yamethin,20.4333,96.15,85.66,9.13,8,54,MM,1650760993
san carlos de bariloche,-41.1456,-71.3082,42.55,25.32,75,87,AR,1650760993
leamington,42.0549,-82.6062,52.75,5.99,86,82,CA,1650760993
opuwo,-18.0607,13.84,63.37,3.06,2,56,NA,1650760994
berdychiv,49.8993,28.6024,42.17,6.11,25,95,UA,1650760994
churapcha,62.0025,132.4325,31.78,2.08,29,66,RU,1650760994
clyde river,70.4692,-68.5914,-5.57,3.44,20,77,CA,1650760995
muravlenko,63.7898,74.523,7.7,5.66,100,96,RU,1650760995
leningradskiy,69.3833,178.4167,25.45,3.6,100,88,RU,1650760996
vawkavysk,53.1561,24.4513,40.1,1.54,100,98,BY,1650760996
kagalnik,47.0769,39.323,56.71,11.36,100,73,RU,1650760997
togur,58.3631,82.8265,25.61,5.17,100,90,RU,1650760997
talaya,61.3833,152.75,21.4,7.47,100,80,RU,1650760997
tura,25.5198,90.2201,75.25,5.97,7,87,IN,1650760998
iqaluit,63.7506,-68.5145,11.93,2.3,40,67,CA,1650760998
geraldton,-28.7667,114.6,68.41,13.8,0,56,AU,1650760999
susanville,40.4163,-120.653,59.45,3.0,0,28,US,1650760754
beloha,-25.1667,45.05,73.87,3.89,100,81,MG,1650760999
srivardhan,18.0333,73.0167,83.71,2.24,100,76,IN,1650761000
los llanos de aridane,28.6585,-17.9182,56.12,5.99,100,81,ES,1650761000
palafrugell,41.9174,3.1631,50.7,4.0,37,46,ES,1650761001
jackson,42.4165,-122.8345,67.41,8.05,0,21,US,1650760709
namibe,-15.1961,12.1522,69.67,5.84,14,83,AO,1650761001
synya,65.3718,58.0387,17.69,2.06,100,93,RU,1650761002
dingle,10.9995,122.6711,85.14,9.28,60,70,PH,1650761002
tasiilaq,65.6145,-37.6368,32.16,7.4,100,88,GL,1650761002
bemidji,47.4736,-94.8803,54.88,12.66,0,96,US,1650761003
dwarka,22.2394,68.9678,80.24,11.83,0,76,IN,1650761003
petatlan,17.5167,-101.2667,84.0,4.45,1,69,MX,1650761003
bouna,9.2667,-3.0,79.99,7.85,100,64,CI,1650761004
lorengau,-2.0226,147.2712,84.42,8.32,82,72,PG,1650761004
baft,29.234,56.6057,54.5,3.31,6,42,IR,1650761004
santa rosa,14.3122,121.1114,87.82,9.42,12,66,PH,1650761005
balezino,57.9796,53.0106,31.19,1.41,100,96,RU,1650761005
mattru,7.6244,-11.8332,78.98,1.21,100,87,SL,1650761006
mahendranagar,28.9167,80.3333,75.94,5.93,0,21,NP,1650761006
genhe,50.7833,121.5167,40.62,3.44,100,28,CN,1650761007
bongandanga,1.5,21.05,69.66,0.72,100,99,CD,1650760852
isiro,2.7739,27.616,65.86,1.61,71,85,CD,1650761007
tiznit,29.5833,-9.5,52.48,7.96,65,82,MA,1650761008
tilichiki,60.4667,166.1,27.36,7.47,100,85,RU,1650761008
coruripe,-10.1256,-36.1756,77.2,6.91,4,87,BR,1650760866
kruisfontein,-34.0033,24.7314,58.89,11.81,85,89,ZA,1650761009
palana,59.1167,159.9667,29.73,7.29,100,91,RU,1650761009
nehe,48.4833,124.8333,49.75,8.66,0,23,CN,1650761010
carnarvon,-24.8667,113.6333,66.27,5.75,0,100,AU,1650761010
ullapool,57.8987,-5.1604,44.35,5.88,95,94,GB,1650761010
nabire,-3.3667,135.4833,85.19,1.83,100,65,ID,1650761011
egvekinot,66.3167,-179.1667,22.96,2.1,100,83,RU,1650761012
acarau,-2.8856,-40.12,74.98,9.51,100,93,BR,1650761013
mezen,65.8522,44.24,17.35,3.56,85,97,RU,1650761013
bako,5.7833,36.5667,62.29,3.53,100,91,ET,1650761014
pisco,-13.7,-76.2167,64.45,8.05,0,88,PE,1650760854
shimoda,34.6667,138.95,64.76,10.71,100,92,JP,1650761014
north bend,43.4065,-124.2243,55.71,11.5,0,80,US,1650761015
labuhan,-6.8844,112.2051,81.39,5.1,100,82,ID,1650761015
tuni,17.35,82.55,81.72,8.66,100,77,IN,1650761016
preobrazheniye,42.9019,133.9064,54.45,12.82,26,63,RU,1650761016
svetlaya,46.5389,138.3297,43.36,8.01,100,79,RU,1650761016
westport,41.1415,-73.3579,53.83,10.36,100,60,US,1650761017
torbay,47.6666,-52.7314,33.6,14.97,100,93,CA,1650761017
coihaique,-45.5752,-72.0662,40.95,5.75,100,93,CL,1650761018
mayang imphal,24.6167,93.8833,72.46,0.76,13,64,IN,1650761018
san policarpo,12.1791,125.5072,81.19,8.63,99,86,PH,1650761018
la peca,-5.6111,-78.435,72.03,3.65,100,80,PE,1650761019
damaturu,11.747,11.9608,88.0,6.33,84,25,NG,1650761020
koutsouras,35.0339,25.9469,62.11,6.82,0,80,GR,1650761020
honiara,-9.4333,159.95,87.06,4.41,86,62,SB,1650761020
watrous,51.6668,-105.4679,44.38,25.32,100,61,CA,1650761021
inverell,-29.7833,151.1167,70.23,7.0,5,52,AU,1650761021
vila franca do campo,37.7167,-25.4333,59.2,13.44,44,78,PT,1650761022
eldorado,-23.7869,-54.2836,69.4,4.21,0,93,BR,1650761022
mundo nuevo,18.7,-95.5,79.39,16.93,0,77,MX,1650761022
celestun,20.8667,-90.4,79.56,17.34,0,75,MX,1650761023
lardos,36.0942,28.0157,62.42,6.69,1,59,GR,1650761023
vilyuysk,63.7553,121.6247,25.5,2.71,100,88,RU,1650761023
manakara,-22.1333,48.0167,74.62,12.57,100,86,MG,1650761024
bonfim,3.0833,-59.95,83.17,8.5,100,65,BR,1650761024
aykhal,66.0,111.5,14.72,4.34,100,90,RU,1650761025
savinka,50.0785,47.0994,43.72,4.63,7,90,RU,1650761025
norrkoping,58.5942,16.1826,41.2,8.05,100,73,SE,1650760952
black river,18.0264,-77.8487,77.05,3.65,100,81,JM,1650761026
san quintin,30.4833,-115.95,61.66,13.51,0,68,MX,1650761026
namatanai,-3.6667,152.4333,85.42,5.97,100,62,PG,1650761026
sedan,49.6667,5.0,46.89,7.38,81,83,FR,1650761027
campo grande,-20.4428,-54.6464,69.35,4.61,0,78,BR,1650761027
ca mau,9.1769,105.15,85.78,5.3,100,67,VN,1650761027
sao borja,-28.6606,-56.0044,55.33,6.67,0,72,BR,1650761028
pangody,65.85,74.4859,-3.35,4.45,64,100,RU,1650761028
flekkefjord,58.2971,6.6607,46.06,10.31,8,59,NO,1650761029
ulaangom,49.9811,92.0667,37.81,5.14,5,45,MN,1650761029
byron bay,-28.65,153.6167,72.72,14.81,57,75,AU,1650760982
shingu,33.7333,135.9833,61.77,6.91,100,97,JP,1650761029
korcula,42.9622,17.1369,58.57,14.7,100,80,HR,1650761030
zaporizhzhya,47.8167,35.1833,50.68,10.11,98,84,UA,1650761030
sayyan,15.1718,44.3244,57.9,1.45,21,38,YE,1650761031
mikkeli,61.6886,27.2723,35.71,4.61,0,64,FI,1650761031
hanmer springs,-42.5167,172.8167,58.19,4.32,92,64,NZ,1650761032
riyadh,24.6877,46.7219,78.94,10.69,38,23,SA,1650760960
kavieng,-2.5744,150.7967,84.65,10.69,50,67,PG,1650761032
galle,6.0367,80.217,80.11,6.17,55,82,LK,1650761033
gavrilovka vtoraya,52.877,42.7663,47.44,4.05,75,62,RU,1650761033
tsabong,-26.0217,22.401,68.9,15.55,80,47,BW,1650761033
kangaatsiaq,68.3065,-53.4641,22.89,6.4,100,95,GL,1650761034
hella,67.2,14.4333,33.94,3.44,100,80,NO,1650761034
evensk,61.95,159.2333,28.33,21.47,87,70,RU,1650761034
perpignan,42.75,2.75,48.31,3.44,75,86,FR,1650760968
kysyl-syr,63.8986,122.7617,24.66,2.71,100,79,RU,1650761035
mayna,54.1135,47.6231,41.14,2.64,69,64,RU,1650761036
